Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2023-08-07T08:52:55.240316Z,,CASH TOP-UP,,,USD 1130.15,USD,0.0454
2023-08-07T13:30:01.486Z,ENPH,BUY - MARKET,0.91728571,USD 140,USD 128.42,USD,0.0455
2023-08-07T13:30:24.394Z,PLTR,BUY - MARKET,27.39726027,USD 18.25,USD 500,USD,0.0455
2023-08-07T13:30:56.706Z,TSLA,BUY - MARKET,1.98854597,USD 251.44,USD 500,USD,0.0455
2023-09-01T04:39:08.724236Z,,CUSTODY FEE,,,USD -2.27,USD,0.0452
2023-10-01T07:21:34.700869Z,,CUSTODY FEE,,,USD -2.27,USD,0.0434
2023-11-02T07:22:27.365946Z,,CUSTODY FEE,,,USD -1.93,USD,0.0431
2023-11-08T16:37:19.923981Z,,CASH TOP-UP,,,USD 500,USD,0.0436
2023-11-08T16:37:54.067Z,ENPH,BUY - MARKET,3.18930986,USD 78.39,USD 250,USD,0.0436
2023-11-08T16:38:34.085Z,ETSY,BUY - MARKET,3.81783978,USD 63.79,USD 243.53,USD,0.0436
2023-12-01T09:21:23.192945Z,,CUSTODY FEE,,,USD -2.52,USD,0.0449
2023-12-16T20:09:55.456025Z,,CASH TOP-UP,,,USD 2.10,USD,0.0446
2023-12-21T07:50:07.673283Z,,CASH TOP-UP,,,USD 100,USD,0.0449
2023-12-21T14:30:13.915Z,ACHR,BUY - MARKET,15.68188976,USD 6.35,USD 99.58,USD,0.0449
2024-01-01T06:37:01.968370Z,,CUSTODY FEE,,,USD -2.57,USD,0.0449
2024-01-03T15:50:27.087870Z,,CASH TOP-UP,,,USD 2.57,USD,0.0444
2024-01-03T15:51:56.281145Z,,CASH TOP-UP,,,USD 700,USD,0.0443
2024-01-03T15:52:31.633Z,TSLA,BUY - MARKET,1.04480106,USD 239.28,USD 250,USD,0.0444
2024-01-03T15:52:51.096Z,PLTR,BUY - MARKET,15.48111455,USD 16.15,USD 250,USD,0.0444
2024-01-03T15:53:36.612Z,CRSP,BUY - MARKET,2.36593059,USD 63.40,USD 150,USD,0.0444
2024-01-03T15:53:58.101Z,ACHR,BUY - MARKET,8.78910369,USD 5.69,USD 50,USD,0.0444
2024-02-02T17:05:02.910206Z,,CASH TOP-UP,,,USD 906.33,USD,0.0434
2024-02-02T17:06:01.188Z,TSLA,BUY - MARKET,2.18400218,USD 183.15,USD 400,USD,0.0434
2024-02-02T17:06:19.364Z,PLTR,BUY - MARKET,24.01140456,USD 16.66,USD 400,USD,0.0434
2024-02-02T17:07:16.647Z,CRSP,BUY - MARKET,1.66270523,USD 63.95,USD 106.33,USD,0.0434
2024-02-03T05:14:24.583330Z,,CUSTODY FEE,,,USD -2.20,USD,0.0434
2024-02-10T11:53:55.204899Z,,CASH TOP-UP,,,USD 2.20,USD,0.0429
2024-03-08T12:12:46.965300Z,GOEVQ,STOCK SPLIT,-175.49102512,,USD 0,USD,0.0433
2024-07-02T13:14:19.301459Z,,CASH TOP-UP,,,USD 500,USD,0.0427
2024-07-02T13:30:03.964Z,ACHR,BUY - MARKET,28.65329512,USD 3.49,USD 100,USD,0.0427
2024-07-02T13:30:07.675Z,ETSY,BUY - MARKET,1.74367916,USD 57.35,USD 100,USD,0.0427
2024-07-02T15:04:07.400Z,ENPH,BUY - MARKET,1.02753801,USD 97.32,USD 100,USD,0.0428
2024-07-02T15:04:32.299Z,QS,BUY - MARKET,20.58024691,USD 4.86,USD 100,USD,0.0428
2024-07-02T15:06:10.318Z,CRSP,BUY - MARKET,1.878287,USD 53.24,USD 100,USD,0.0428
2024-07-02T19:34:53.910372Z,,CASH TOP-UP,,,USD 200,USD,0.0428
2024-07-02T19:35:36.783Z,PATH,BUY - MARKET,15.38615384,USD 13,USD 200,USD,0.0428
2024-08-13T14:54:44.001680Z,,CASH TOP-UP,,,USD 1000,USD,0.0436
2024-08-13T14:55:04.942Z,ACHR,BUY - MARKET,140.49719101,USD 3.56,USD 500,USD,0.0436
2024-08-13T14:55:42.644Z,CRSP,BUY - MARKET,5.18779829,USD 48.19,USD 250,USD,0.0436
2024-08-13T14:56:16.327Z,RIVN,BUY - MARKET,18.39735099,USD 13.59,USD 250,USD,0.0436
2024-10-02T18:52:38.579904Z,,CASH TOP-UP,,,USD 300,USD,0.0437
2024-10-02T18:53:03.690Z,ACHR,BUY - MARKET,94.66876971,USD 3.17,USD 300,USD,0.0437
2024-10-03T19:15:00.223638Z,,CASH TOP-UP,,,USD 700,USD,0.0437
2024-10-03T19:15:18.134Z,ACHR,BUY - MARKET,236.57432432,USD 2.96,USD 700,USD,0.0437
2024-10-30T10:01:36.723895Z,,CASH TOP-UP,,,USD 500,USD,0.0428
2024-10-30T10:01:53.483582Z,,CASH TOP-UP,,,USD 500,USD,0.0428
2024-10-30T13:30:05.990Z,PATH,BUY - MARKET,23.8095238,USD 12.60,USD 300,USD,0.0428
2024-10-30T13:30:08.458Z,QS,BUY - MARKET,130.10037174,USD 5.38,USD 700,USD,0.0428
2024-11-29T19:56:09.437434Z,,CASH TOP-UP,,,USD 474,USD,0.0420
2024-12-02T14:30:20.917Z,CRSP,BUY - MARKET,9.2578125,USD 51.20,USD 474,USD,0.0417
2024-12-24T08:41:09.279535Z,GOEVQ,STOCK SPLIT,-7.57802155,,USD 0,USD,0.0415
2025-01-22T22:03:40.061499Z,,CASH TOP-UP,,,USD 800,USD,0.0416
2025-01-23T14:30:08.459Z,QS,BUY - MARKET,158.73015873,USD 5.04,USD 800,USD,0.0416
2025-02-04T14:35:16.059737Z,,CASH TOP-UP,,,USD 175,USD,0.0412
2025-02-04T14:35:30.233Z,QS,BUY - MARKET,34.93812375,USD 5.01,USD 175,USD,0.0412
